"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","64","157","175","221","164","36","24","20","24","254","","","","","35","","","",
"Afghanistan","AFG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","547714","","","","","","","","","","","","","","","","","","","788683","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","311241","340825","","","","","","","","","","","","","","","475115","","","","","","","","","","360626","383302","340313","234686","","","","","","",
"Albania","ALB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1969","4846","7516","","9897","11258","","","","13622","18143","16836","14983","10002","5314","3446","3338","3240","",
"Andorra","AND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","3666181","3747153","3690473","3674179","3676747","3673404","3570514","3594242","3635896","3618021","3606955","3673071","3735385","3775917","3712292","3756676","3745118","3699822","3740924","3845396","3800461","3914009","4335572","4408192","4230891","4408430","4220641","4181176","4222039","4131775","3955257","3726838","3534138","3366129","3223857","3230774","3203279","2971757","2821671","2752499","2612533","2812431","3007016","3368475","3653164","3631619","3726700","",
"United Arab Emirates","ARE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","7768","","11815","14685","13395","17095","18585","20581","22281","13262","10270","6071","2752","2546","6150","12925","16698","16384","20729","26503","27386","","","","","","","","","9324","","20241","16765","14660","11383","14122","11715","9813","4361","",
"Argentina","ARG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","97442","","","","63095","67633","","","","","","","","","","","","","","","","89555","","","","","","","","6020","","","","5030","4732","4411","4447","4584","6177","5933","5680","4730","3491","3207","2837","2351","","",
"Armenia","ARM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11239","11553","","8482","5634","2446","","","","","","","","6282","6646","",
"American Samoa","ASM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","929","918","883","938","1121","1270","","1248","1048","","",
"Australia","AUS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","30472","","43983","49119","25309","16076","","","","","777","10064","16358","30680","31366","26791","23438","19182","18708","21342","26201","28300","31577","34160","53086","50477","56161","60412","67200","70712","74143","73152","65790","60719","54398","51132","42059","40227","37214","33148","26018","27005","28987","33773","35404","39710","",
"Austria","AUT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10732","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5799","7632","27541","39019","56411","38359","34349","40321","29349","42084","50174","49185","47847","45399","41465","39283","46271","43949","37768","40292","31263","25890","12462","11527","12715","12363","",
"Burundi","BDI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","219406","","","","","237458","","235419","228858","215991","196391","184780","176842","177956","170568","174597","","","","","219712","","","","","","","317053","261892","265019","247640","250180","234382","139262","97403","32707","51908","19247","","","","","","","",
"Belgium","BEL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","17215","","11503","9011","14183","12779","26924","29537","30847","24582","19804","15542","","","17643","22528","9731","11815","11386","9635","","","3606","3667","3573","4476","7969","14712","15849","14132","10909","8681","8765","9794","9435","7948","7868","7780","6121","","",
"Benin","BEN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","110971","111825","125643","","137733","140628","197369","","152178","136570","140817","134808","129992","118769","","","","","","","","","33953","","24957","","","1060","","","","","","",
"Burkina Faso","BFA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","382862","388491","","","","","423482","431614","439920","445978","447714","446745","451474","455467","455149","455326","456675","470186","486205","","510139","520708","527434","530512","527777","","","533475","544505","548300","553627","584701","577948","576742","540972","517082","471145","418466","403084","498827","454932","458467","465969","460408","450238","370444","",
"Bangladesh","BGD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","1588696","","","480160","","","","613194","694059","","","1270842","","1298604","1715317","1885715","2029669","2160476","1707312","1768291","1660178","","","","","","","","","","","","","","","625717","632001","","728814","881658","840144","","","","","","","",
"Bulgaria","BGR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10771","9097","2397","3264","4147","3937","6419","5988","4679","6119","4184","347","523","1326","843","897","2958","4778","5877","7135","9445","",
"Bahrain","BHR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2619","2181","2109","1563","966","1893","1939","2752","3064","3067","3352","3765","3484","3077","2359","938","1332","376","198","","","1239","895","1048","576","","","","270","1497","3149","3118","3766","4009","5320","5208","","","","","4606","4145","3565","2581","1346","1654","",
"Bahamas, The","BHS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2111","2167","","","","","","1405","","","","","1101","421","691","","402","1070","","","","","","","2439","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35281","","","","","","","","","","","","","","13704","15094","16004","10470","14252","12974","12380","7654","",
"Belize","BLZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","623","1278","","1476","1144","1111","1066","1228","820","627","497","404","159","209","49","73","64","",
"Bermuda","BMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","493","537","","","","","299","197","","","","","","","","","","","","","","","","","","","","","","","","","","308","359","","","","","",
