"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","43.37","43.99","47.03","48.56","51.43","56.97","60.26","64.81","65.16","59.48","57.6","53.05","58.33","60.87","63.25","68.93","68.44","69.24","69.8","70.84","72.86","73.31","71.89","68.09","61.16","51.88","55.41","57.94","60.21","70.69","72.21","71.79","76.43","84.36","91.21","100.89","110.19","117.91","123.59","104.47","83.38","103.58","97.99","105.03","103.31","91.66","94.8","98.86","101.92","105.45","107.94","109.26","103.97","101.71","98.9","98.7","",
"Angola","AGO","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","37.12","38.13","39","41.33","42.98","44.05","45.06","44.91","46.85","50.01","50.82","50.25","51.91","52.73","57.4","52.74","53.72","55.52","57.01","58.06","59.21","61.68","62.62","63.58","65.26","67.12","67.11","67.6","68.11","70.11","70.58","74.94","76.47","75.23","71.18","82.5","87.12","92.57","93.01","99.28","100.65","103.22","103.93","93.4","102.5","104.1","109.65","114.56","116.54","123.19","126.28","130.47","137.03","137.33","139.12","139.14","",
"Albania","ALB","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","24.08","24.44","24.45","24.09","24.98","25.85","29.09","27.47","28.05","29.03","30.93","30.45","32.01","32.89","33.15","35.27","36.3","40.06","41.56","42.7","44.75","44.94","45.44","44.17","43.38","43.18","45.9","50.02","52.68","57.97","56.4","63.03","67.34","79.36","89.36","93.67","82.58","80.99","84.59","89.31","91.38","94.09","97.98","101.24","98.52","100.25","103.57","97.48","98.99","101.02","104.66","108.27","110.78","111.07","111.72","113.07","",
"Andorra","AND","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","20.603508139181","20.777658599248","21.3365649010666","21.8838837399205","22.8790047991644","23.8576940454099","24.4906749369767","25.7036909118403","26.2423259376518","26.4279730076622","27.0452050037157","27.7406992590583","28.1572627638368","28.8391036151632","29.8966418569227","30.8698333943501","32.2814302048736","34.0726025573506","36.0889983604887","38.2959172955839","40.5141742387927","42.7460434995734","43.7875407644575","43.882276122801","46.660156790918","47.7194566775836","48.8762919323423","51.6013125042556","53.7333131097522","59.1403579411201","58.5294496948008","60.0113354983621","61.582257997161","64.2056666889352","67.5838092478378","70.1898856443846","75.9859376340308","78.9360258774291","81.7518862348006","86.2461830925212","87.2452623185204","91.4219006831047","95.2361211790503","97.7310024626368","102.432035224023","104.59272038374","108.946318874574","111.067820348568","112.101135306536","115.575548617233","119.481535856394","106.525665280949","107.117923697269","108.470262777275","","","",
"United Arab Emirates","ARE","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","11.63","11.67","11.95","12.32","12.63","12.93","13.13","13.8","14.34","15.02","15.77","15.57","17.16","16.42","15.05","11","12.86","15.25","16.03","18.95","20.97","23.95","28.44","30","31.81","34.4","36.11","38.02","39.9","42.89","45.36","47.1","50.14","57.38","59.85","68.53","70.43","71.06","75.45","79.68","82.98","91.6","89.03","91.04","110.68","98.28","99.85","117.76","126.42","142.49","145.34","152.7","156.89","161.74","159.82","149.9","",
"Argentina","ARG","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","62.15","66.43","71.66","60.45","60.81","68.66","72.36","73.25","79.6","73.76","63.11","67.38","65.79","66.34","72.57","80.22","81.16","86.75","84.17","80.58","82.52","75.16","73.16","75.32","80.99","83.99","78.09","75.41","77.48","84.39","83.18","81.87","86.41","90.28","90.71","89.35","89.71","86.74","95.76","93.98","87.33","83.03","86.12","93.64","102.39","103.96","107.57","107.84","113.93","101.59","102.26","101.63","108.83","108.13","110.15","107","",
"Armenia","ARM","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.52","55.77","70.94","56.91","67.94","66.5","70.97","72.33","73.86","73.31","82.6","87.32","89.66","99.78","110.56","114.69","116.14","123.32","125.93","125.69","130.97","139.55","141.15","144.37","143.85","",
"American Samoa","ASM","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","116.81","102.09","129.64","159.72","195.67","194.66","125.47","108.97","94.99","93.33","85.04","86.67","86.56","93.87","93.53","105.9","106.99","98.13","99.41","116.67","97.42","95.37","95.2","95.54","95.88","96.76","96.96","96.98","97.73","97.93","98.79","98.99","99.82","99.7","99.7","99.7","99.7","100.33","100.34","100.35","100.36","100.37","100.07","99.85","99.85","100.3","101.44","100.38","100.98","101.87","100.41","100.42","100.43","100.44","100.45","100.46","",
